cluster_label,source_id,ra,dec,pmra,pmdec,pmra_error,pmdec_error,parallax,parallax_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,prob_A,membership_prob,prob_source,ms_flag,giant_flag,cluster_centre_ra,cluster_centre_dec,hunt24_name,simbad_name,sp_type,sp_class
188,458002981604684288,38.296612,57.310593,-0.203697,-1.223556,0.050324,0.050424,0.371377,0.057450,16.585865,17.237290,15.799355,1.091172,0.000000,0.906127,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458003497000741120,38.323661,57.337404,-0.345832,-0.981088,0.015744,0.015668,0.433358,0.018947,14.281146,14.692581,13.685416,1.058796,0.000000,0.975654,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023219490406656,38.339999,57.544700,-0.277239,-1.029386,0.024823,0.027006,0.375789,0.033403,15.352020,15.794138,14.726615,1.024976,0.767659,0.988680,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024009764368512,38.462676,57.556386,-0.180638,-1.093038,0.021872,0.023952,0.415787,0.028382,15.045744,15.410567,14.499857,1.039734,0.704870,0.990367,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024898816299904,38.406519,57.606285,-0.459754,-1.071791,0.040640,0.042020,0.418066,0.048756,16.093000,16.619648,15.357052,1.080062,0.589504,0.948509,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023185130667776,38.377997,57.540374,-0.160691,-1.055447,0.012441,0.014309,0.408103,0.017076,13.279520,13.653070,12.717806,1.174566,0.681355,0.989554,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458023219490409600,38.337046,57.541286,-0.385610,-1.092099,0.021407,0.023510,0.433834,0.028107,14.945650,15.351382,14.354079,0.969829,0.809004,0.989632,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458024765678604800,38.368760,57.576549,-0.320982,-1.040177,0.011880,0.012914,0.401242,0.015802,12.728894,13.061976,12.218746,1.069061,0.873948,0.995315,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458025143635705856,38.366053,57.608082,-0.286472,-1.081577,0.047419,0.051383,0.388489,0.056866,16.674223,17.334888,15.879122,1.011716,0.804620,0.988640,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458025384153849216,38.493268,57.637176,-0.229965,-1.169404,0.021194,0.024248,0.431289,0.026866,15.020897,15.421476,14.432837,1.046720,0.521655,0.989114,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458025487233078784,38.394662,57.622447,-0.211660,-1.039495,0.026111,0.029246,0.419365,0.032918,15.463304,15.906373,14.840732,1.006993,0.671712,0.990716,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458026002629225216,38.226558,57.546715,-0.396198,-1.119231,0.012395,0.013113,0.422640,0.015621,12.098021,12.404795,11.615844,1.128161,0.729426,0.991633,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
188,458027548817395584,38.203313,57.623766,-0.168593,-1.045365,0.030027,0.029835,0.464986,0.034397,15.572620,16.090670,14.884094,1.051850,0.000000,0.964684,mcmc,,,38.347968,57.545864,NGC_957,"NGC   957, [FSR2007] 0603",,
